N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
32,1.0,0,68,Er,-62991,-62991.171,1.168,8129.6,1.0
31,1.0,0,69,Tm,-61275,-61275.212,0.812,8114.4,73.0
34,1.0,2,68,Er,-60108,-60108.681,1.546,8111.9,59.0
32,1.0,1,69,Tm,-59795,-59795.853,0.801,8105.5,17.0
30,1.0,0,70,Yb,-60763,-60763.919,0.01,8106.6,9.0
35,1.0,3,68,Er,-57718,-57718.956,1.557,8097.7,46.0
33,1.0,2,69,Tm,-59210,-59210.298,0.972,8101.8,93.0
31,1.0,1,70,Yb,-59306,-59306.81,0.013,8097.8,82.0
29,1.0,0,71,Lu,-57828,-57828.395,1.862,8084.6,61.0
36,1.0,4,68,Er,-56483,-56483.612,4.008,8090.4,10.0
34,1.0,3,69,Tm,-57374,-57374.379,5.503,8091.0,41.0
32,1.0,2,70,Yb,-59255,-59255.446,0.014,8097.4,29.0
30,1.0,1,71,Lu,-56735,-56735.98,2.336,8078.2,32.0
33,1.0,3,70,Yb,-57551,-57551.225,0.011,8087.4,27.0
31,1.0,2,71,Lu,-56880,-56880.916,1.567,8079.0,30.0
34,1.0,4,70,Yb,-56944,-56944.512,0.011,8083.8,47.0
32,1.0,3,71,Lu,-55570,-55570.195,1.567,8071.4,53.0
30,1.0,2,72,Hf,-55844,-55844.481,2.259,8068.5,33.0
35,1.0,5,70,Yb,-54695,-54695.549,0.071,8070.9,25.0
33,1.0,4,71,Lu,-55165,-55165.582,1.207,8069.1,40.0
31,1.0,3,72,Hf,-54481,-54481.662,2.282,8060.7,61.0
36,1.0,6,70,Yb,-53491,-53491.314,0.015,8064.0,85.0
34,1.0,5,71,Lu,-53382,-53382.236,1.212,8059.0,20.0
32,1.0,4,72,Hf,-54576,-54576.321,1.481,8061.3,59.0
35,1.0,6,71,Lu,-52383,-52383.806,1.22,8053.4,48.0
33,1.0,5,72,Hf,-52880,-52880.616,1.408,8051.8,35.0
36,1.0,7,71,Lu,-50337,-50337.784,2.251,8042.0,54.0
34,1.0,6,72,Hf,-52435,-52435.236,1.412,8049.4,42.0
26,1.0,2,76,Os,-43544,-43544.27,13.632,7981.9,12.0
22,1.0,0,78,Pt,-31997,-31997.519,10.133,7908.2,52.0
37,1.0,8,71,Lu,-49058,-49058.918,5.15,8035.0,73.0
35,1.0,7,72,Hf,-50462,-50462.907,1.413,8038.5,46.0
33,1.0,6,73,Ta,-50357,-50357.323,1.463,8033.5,85.0
31,1.0,5,74,W,-49295,-49295.127,14.573,8023.2,81.0
29,1.0,4,75,Re,-46584,-46584.28,24.639,8003.7,66.0
27,1.0,3,76,Os,-43019,-43019.495,16.504,7979.4,80.0
25,1.0,2,77,Ir,-38081,-38081.714,9.771,7947.5,24.0
23,1.0,1,78,Pt,-32268,-32268.145,7.977,7910.6,75.0
21,1.0,0,79,Au,-24988,-24988.567,11.696,7865.6,37.0
36,1.0,8,72,Hf,-49779,-49779.348,1.419,8034.9,30.0
32,1.0,6,74,W,-49636,-49636.115,1.436,8025.4,42.0
28,1.0,4,76,Os,-44357,-44357.81,16.391,7987.4,25.0
22,1.0,1,79,Au,-25625,-25625.509,4.786,7870.3,18.0
20,1.0,0,80,Hg,-20250,-20250.447,12.649,7836.1,10.0
35,1.0,8,73,Ta,-48438,-48438.311,1.403,8023.4,0.0
29,1.0,5,76,Os,-43549,-43549.963,25.338,7983.4,26.0
25,1.0,3,78,Pt,-34381,-34381.511,13.689,7924.1,26.0
21,1.0,1,80,Hg,-20661,-20661.136,15.382,7839.6,79.0
19,1.0,0,81,Tl,-12798,-12798.735,9.108,7791.9,18.0
36,1.0,9,73,Ta,-46429,-46429.934,1.405,8012.6,28.0
34,1.0,8,74,W,-48246,-48246.06,0.738,8018.3,8.0
30,1.0,6,76,Os,-44609,-44609.104,21.745,7989.7,28.0
28,1.0,5,77,Ir,-39051,-39051.679,20.967,7954.8,94.0
26,1.0,4,78,Pt,-36168,-36168.449,13.095,7934.7,54.0
22,1.0,2,80,Hg,-23576,-23576.922,9.79,7856.9,72.0
35,1.0,9,74,W,-46365,-46365.58,0.737,8008.3,22.0
31,1.0,7,76,Os,-43664,-43664.043,49.76,7985.0,10.0
29,1.0,6,77,Ir,-40203,-40203.311,24.398,7961.8,23.0
27,1.0,5,78,Pt,-35772,-35772.487,15.533,7933.3,36.0
25,1.0,4,79,Au,-30191,-30191.483,9.423,7898.5,64.0
23,1.0,3,80,Hg,-23804,-23804.674,7.084,7859.3,88.0
21,1.0,2,81,Tl,-16587,-16587.257,9.331,7815.6,73.0
36,1.0,10,74,W,-45705,-45705.373,0.731,8005.0,77.0
34,1.0,9,75,Re,-44219,-44219.634,4.275,7992.7,50.0
32,1.0,8,76,Os,-44252,-44252.533,0.827,7988.6,77.0
28,1.0,6,78,Pt,-37334,-37334.243,15.584,7942.5,74.0
24,1.0,4,80,Hg,-26348,-26348.965,10.062,7874.3,67.0
22,1.0,3,81,Tl,-16883,-16883.242,10.02,7818.6,71.0
20,1.0,2,82,Pb,-11051,-11051.522,12.806,7782.7,25.0
37,1.0,11,74,W,-43387,-43387.793,0.733,7992.9,7.0
35,1.0,10,75,Re,-43819,-43819.027,0.818,7991.0,9.0
33,1.0,9,76,Os,-42805,-42805.88,0.83,7981.3,4.0
29,1.0,7,78,Pt,-36688,-36688.14,25.832,7939.7,77.0
25,1.0,5,80,Hg,-26183,-26183.666,13.639,7874.5,38.0
38,1.0,12,74,W,-42508,-42508.528,1.212,7988.6,1.0
36,1.0,11,75,Re,-41927,-41927.086,0.826,7981.2,69.0
34,1.0,10,76,Os,-42999,-42999.943,0.761,7982.8,31.0
30,1.0,8,78,Pt,-37864,-37864.443,21.745,7946.8,9.0
28,1.0,7,79,Au,-31714,-31714.852,20.967,7909.5,40.0
26,1.0,6,80,Hg,-28539,-28539.097,11.65,7888.2,60.0
39,1.0,13,74,W,-39903,-39903.97,1.212,7975.1,16.0
37,1.0,12,75,Re,-41216,-41216.478,0.736,7977.9,51.0
35,1.0,11,76,Os,-41218,-41218.945,0.736,7973.7,80.0
31,1.0,9,78,Pt,-36685,-36685.05,24.048,7941.1,68.0
29,1.0,8,79,Au,-33027,-33027.838,22.308,7917.4,27.0
27,1.0,7,80,Hg,-28117,-28117.93,13.905,7886.9,87.0
25,1.0,6,81,Tl,-22444,-22444.587,8.048,7852.4,64.0
23,1.0,5,82,Pb,-14986,-14986.959,5.094,7808.4,0.0
36,1.0,12,76,Os,-41137,-41137.233,0.734,7973.8,64.0
34,1.0,11,77,Ir,-38344,-38344.907,9.423,7954.8,50.0
32,1.0,10,78,Pt,-37820,-37820.929,5.304,7947.9,2.0
28,1.0,8,80,Hg,-30201,-30201.914,12.275,7899.0,52.0
37,1.0,13,76,Os,-38986,-38986.745,0.666,7963.0,2.0
35,1.0,12,77,Ir,-38449,-38449.586,12.576,7956.0,20.0
33,1.0,11,78,Pt,-36469,-36469.348,10.09,7941.4,3.0
29,1.0,9,80,Hg,-29626,-29626.401,31.553,7896.9,19.0
27,1.0,8,81,Tl,-24616,-24616.1,8.368,7866.2,70.0
25,1.0,7,82,Pb,-17844,-17844.035,14.062,7826.2,99.0
42,1.0,16,74,W,-34382,-34382.313,39.726,7947.5,73.0
40,1.0,15,75,Re,-35635,-35635.83,70.852,7950.0,53.0
38,1.0,14,76,Os,-38707,-38707.771,0.65,7962.1,4.0
34,1.0,12,78,Pt,-37306,-37306.45,0.657,7946.4,93.0
30,1.0,10,80,Hg,-31370,-31370.697,15.907,7907.0,17.0
39,1.0,15,76,Os,-36395,-36395.185,0.659,7950.5,68.0
