A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
1,H,1,*,0 0,0 *,*,*,
3,He,2,*,47 0,00 *,18353 05,0 00,*
3,Li,3,*,*,*,,,
4,He,2,20577 62,0 00,19813 86,0 00,*,0 0
4,Li,3,11415 2011,3103 00,212 13,*,*,62 212
5,He,2,735 00,20 00,20678 86,101 98,*,23 20
5,Li,3,21715 62,217 94,1965 00,50 00,*,47 50
5,Be,4,*,2014 *,19183 2830,*,,
6,He,2,1710 45,20 00,22589 32,89 44,*,77 100
6,Li,3,5663 32,50 00,4433 32,20 00,*,77 0
6,Be,4,26835 2003,592 82,50 30,*,65 212,20 5428
6,B,5,*,2832 *,*,24299 2830,,
7,He,2,409 71,7 56,23091 56,254 24,*,49 89
7,Li,3,7251 09,0 00,9973 96,0 05,*,68 20
7,Be,4,10677 35,5 45,5606 85,0 07,*,92 50
7,B,5,27715 2003,2012 55,25 73,*,2003 *,7999 76
8,Li,3,2032 62,0 05,12416 29,7 56,*,51 0
8,Be,4,18898 64,0 08,17254 40,0 04,*,60 0
8,B,5,12826 30,25 17,136 40,1 00,*,34 5
8,C,6,*,75 31,07 *,1545 2003,*,2003
9,Li,3,4062 22,0 19,13943 75,0 21,*,58 7
9,Be,4,1664 54,0 08,16886 32,0 09,*,15 0
9,B,5,18576 40,1 35,185 85,0 90,*,30 0
9,C,6,14224 61,18 37,1299 57,2 36,*,23 25
10,Li,3,26 40,12 72,15172 17,48 51,5747 40,400 20
10,Be,4,6812 28,0 05,19636 39,0 20,*,49 0
10,B,5,8437 20,0 90,6586 81,0 08,*,74 0
10,C,6,21283 62,2 14,4006 79,0 91,*,91 1
10,N,7,*,08 400,01 *,14446 56,400 42,*
11,Be,4,501 64,0 25,20164 43,12 72,*,07 0
11,B,5,11454 22,0 02,11228 75,0 08,*,06 0
11,C,6,13120 59,0 09,8690 18,0 06,*,71 0
11,N,7,22567 78,402 65,1315 92,46 15,*,39 46
12,Be,4,3170 72,1 92,22939 47,2 01,6836 85,24 08
12,B,5,3369 63,1 32,14096 74,1 34,*,71 1
12,C,6,18720 71,0 06,15956 68,0 01,*,80 0
12,N,7,15036 81,46 16,600 30,1 00,*,20 1
12,O,8,*,08 52,02 *,3825 39,400 72,*
13,Be,4,510 00,10 00,22639 47,31 69,10543 64,13 94
13,B,5,4878 77,1 66,15804 78,2 15,*,59 1
13,C,6,4946 31,0 00,17533 36,1 32,*,11 0
