A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
10,Li,3,26.0,12.0,15172.0,48.0,5747.0,400.0
12,Be,4,3170.0,1.0,22939.0,2.0,6836.0,24.0
13,Be,4,510.0,10.0,22639.0,31.0,10543.0,13.0
14,B,5,969.0,21.0,17284.0,23.0,8300.0,46.0
15,B,5,2776.0,29.0,18285.0,133.0,12391.0,25.0
15,C,6,1218.0,0.0,21079.0,21.0,30342.0,66.0
16,B,5,82.0,14.0,20002.0,167.0,26432.0,25.0
16,C,6,4250.0,3.0,22553.0,21.0,10292.0,20.0
17,C,6,733.0,17.0,23369.0,30.0,4531.0,17.0
17,N,7,5885.0,15.0,13113.0,15.0,27303.0,1001.0
18,C,6,4183.0,34.0,26086.0,206.0,19601.0,30.0
18,N,7,2828.0,23.0,15207.0,25.0,11924.0,95.0
19,C,6,576.0,93.0,26667.0,226.0,30661.0,98.0
19,N,7,5328.0,24.0,16351.0,34.0,2926.0,19.0
19,O,8,3955.0,2.0,17069.0,18.0,28495.0,50.0
20,C,6,2981.0,250.0,29555.0,573.0,44545.0,230.0
20,N,7,2161.0,80.0,17936.0,126.0,14915.0,78.0
20,O,8,7608.0,2.0,19349.0,16.0,13681.0,2.0
21,N,7,4605.0,155.0,19560.0,266.0,27416.0,134.0
21,O,8,3805.0,12.0,20993.0,79.0,2841.0,12.0
21,F,9,8101.0,1.0,11132.0,2.0,27038.0,7330.0
22,N,7,1538.0,247.0,21167.0,36946.0,207.0,4972.0
22,O,8,6850.0,58.0,23237.0,145.0,9682.0,56.0
22,F,9,5230.0,12.0,12557.0,17.0,15408.0,9708.0
22,Ne,10,10364.0,0.0,15266.0,1.0,41363.0,2703.0
23,N,7,3115.0,469.0,24179.0,480.0,46250.0,420.0
23,O,8,2732.0,134.0,24432.0,240.0,20094.0,121.0
23,F,9,7579.0,35.0,13286.0,65.0,3462.0,33.0
23,Ne,10,5200.0,0.0,15236.0,12.0,28851.0,5604.0
24,O,8,4192.0,204.0,25508.0,451.0,32433.0,164.0
24,F,9,3812.0,103.0,14365.0,156.0,7593.0,97.0
24,Ne,10,8868.0,0.0,16525.0,33.0,16696.0,19.0
24,Na,11,6959.0,0.0,10552.0,0.0,41737.0,10317.0
25,O,8,757.0,8.0,26898.0,40521.0,165.0,1319.0
25,F,9,4281.0,137.0,14455.0,191.0,20250.0,96.0
25,Ne,10,4155.0,29.0,16868.0,101.0,5862.0,30.0
25,Na,11,9011.0,1.0,10695.0,1.0,29096.0,6507.0
26,F,9,756.0,147.0,15969.0,199.0,30859.0,111.0
26,Ne,10,5554.0,34.0,18142.0,98.0,7622.0,18.0
26,Na,11,5574.0,3.0,12114.0,29.0,17834.0,9801.0
26,Mg,12,11093.0,0.0,14145.0,1.0,43293.0,2914.0
27,F,9,1269.0,405.0,16499.0,423.0,42647.0,389.0
27,Ne,10,1501.0,92.0,18886.0,143.0,19435.0,90.0
27,Na,11,6728.0,5.0,13287.0,18.0,4795.0,26.0
27,Mg,12,6443.0,0.0,15014.0,3.0,31614.0,5482.0
28,F,9,220.0,50.0,18217.0,50592.0,393.0,9791.0
28,Ne,10,3822.0,155.0,21439.0,409.0,32792.0,126.0
28,Na,11,3541.0,10.0,15328.0,91.0,6159.0,10.0
28,Mg,12,8503.0,2.0,16790.0,4.0,19092.0,160.0
28,Al,13,7725.0,0.0,9553.0,0.0,44367.0,10074.0
29,Ne,10,971.0,195.0,22630.0,420.0,40294.0,149.0
29,Na,11,4403.0,12.0,15908.0,126.0,19632.0,7.0
29,Mg,12,3655.0,11.0,16903.0,15.0,7446.0,51.0
29,Al,13,9428.0,0.0,10477.0,2.0,31369.0,188.0
30,Ne,10,3191.0,294.0,24159.0,583.0,47713.0,253.0
30,Na,11,2276.0,8.0,17214.0,149.0,28675.0,4.0
30,Mg,12,6352.0,11.0,18852.0,8.0,5175.0,3.0
30,Al,13,5728.0,2.0,12550.0,11.0,20308.0,9864.0
30,Si,14,10609.0,0.0,13514.0,0.0,45364.0,206.0
31,Ne,10,169.0,126.0,24219.0,54130.0,266.0,1742.0
31,Na,11,4299.0,14.0,18323.0,253.0,36686.0,13.0
31,Mg,12,2309.0,4.0,18885.0,5.0,15920.0,3.0
31,Al,13,7157.0,3.0,13355.0,4.0,7916.0,4.0
31,Si,14,6587.0,0.0,14373.0,2.0,34274.0,5969.0
32,Na,11,1677.0,39.0,19830.0,268.0,42945.0,37.0
32,Mg,12,5778.0,4.0,20363.0,14.0,25186.0,3.0
32,Al,13,4219.0,7.0,15266.0,7.0,2235.0,7.0
32,Si,14,9199.0,0.0,16415.0,2.0,21877.0,1.0
32,P,15,7935.0,0.0,8644.0,0.0,45403.0,10838.0
33,Na,11,2931.0,451.0,20508.0,50117.0,449.0,3309.0
33,Mg,12,2280.0,4.0,20966.0,37.0,31548.0,2.0
33,Al,13,5469.0,10.0,14957.0,7.0,12505.0,7.0
33,Si,14,4507.0,0.0,16703.0,7.0,11130.0,0.0
33,P,15,10103.0,1.0,9548.0,1.0,33379.0,7322.0
34,Na,11,171.0,749.0,21606.0,56228.0,599.0,5392.0
34,Mg,12,4710.0,29.0,22745.0,450.0,38255.0,28.0
34,Al,13,2574.0,7.0,15251.0,4.0,21439.0,3.0
34,Si,14,7513.0,14.0,18748.0,15.0,1578.0,14.0
34,P,15,6282.0,1.0,11323.0,1.0,23328.0,10239.0
34,S,16,11417.0,0.0,10883.0,1.0,43783.0,5083.0
35,Mg,12,754.0,271.0,23329.0,657.0,44485.0,269.0
35,Al,13,5294.0,7.0,15836.0,29.0,28789.0,7.0
35,Si,14,2505.0,38.0,18680.0,35.0,8655.0,35.0
35,P,15,8380.0,2.0,12189.0,14.0,13684.0,1.0
35,S,16,6985.0,0.0,11586.0,0.0,33634.0,8201.0
36,Mg,12,3330.0,741.0,25140.0,51044.0,690.0,589.0
36,Al,13,1897.0,149.0,16978.0,308.0,35472.0,149.0
36,Si,14,6115.0,80.0,19501.0,72.0,17795.0,71.0
36,P,15,3464.0,13.0,13148.0,38.0,2833.0,13.0
