N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
0  1,,1,0,n,,8071.317,13    0.0004,6      0.0,0.0   B-    782
0  0,,1,1,H,,13135.721,76    0.0001,1   1112.2,83    0.000 B-      *
0  1,,2,1,H,,14949.809,93    0.0002,2   2827.2,65    0.000 B-     18
0  2,,3,1,H,-n,,100.000,1720.4,49   25.000 B-  22196
0,,2,2,He,,2424.915,61    0.0000,6   7073.9,15    0.000 B- -22898
0  3,,4,1,H,-nn,,89.443,1336.3,59   17.889 B-  21661
1,,3,2,He,-n,,20.000,5512.1,32    4.000 B-   -447
0  4,,5,1,H,-3n,,254.127,961.6,39   42.354 B-  24283
2,,4,2,He,,17592.095,0.053,4878.5,19    0.009 B-   3505
0,,3,3,Li,,14086.878,95    0.0014,4   5332.3,31    0.000 B-  -4288
0  5,,6,1,H,-nn,,1004#,940#,143#    B-  23062
3,,5,2,He,-n,,7.559,4123.0,57    1.080 B-  11166
1,,4,3,Li,,14907.105,29    0.0042,3   5606.4,39    0.001 B-   -861
0  4,,6,2,He,,31609.681,0.089,3924.5,20    0.011 B-  10663
2,,5,3,Li,,20945.804,0.047,5159.7,12    0.006 B-  16004
0,,4,4,Be,-a,,0.035,7062.4,35    0.004 B- -17979
0  5,,7,2,He,,40935.826,46.816,3349.0,37    5.202 B-  15980
3,,6,3,Li,-3n,,0.186,5037.7,68    0.021 B-  13606
1,,5,4,Be,,11348.453,0.077,6462.6,68    0.009 B-  -1068
0  6,,8,2,He,-nn,,92.848,2995.1,34    9.285 B-  16144
4,,7,3,Li,-n,,12.721,4531.3,51    1.272 B-  20445
2,,6,4,Be,,12607.488,0.081,6497.6,30    0.008 B-    556
0,,5,5,B,,12050.609,0.015,6475.0,83    0.002 B-  -3648
0  5,,8,3,Li,,,0.615,4155.3,81    0.056 B-  20551
3,,7,4,Be,,20177.167,0.238,5952.5,40    0.022 B-  11509
1,,6,5,B,,8667.707,0.012,6927.7,32    0.001 B-  -1981
0  6,,9,3,Li,-n,,30.006,3791.6,00    2.501 B-  23931
4,,8,4,Be,,25077.76,1.909,5720.7,22    0.159 B-  11708
2,,7,5,B,,13369.397,1.321,6631.2,23    0.110 B-  13369
0,,6,6,C,,0.0,0.0,7680.1,44    0.000 B- -17338
0  7,,10,3,Li,-nn,,70.003,3507.6,30    5.385 B-  23321
5,,9,4,Be,-n,,10.180,5241.4,35    0.783 B-  17097
3,,8,5,B,-nn,,1.000,6496.4,19    0.077 B-  13436
1,,7,6,C,,3125.008,88    0.0002,1   7469.8,49    0.000 B-  -2220
0  6,,10,4,Be,,,132.245,4993.8,97    9.446 B-  16290
4,,9,5,B,,23663.685,21.213,6101.6,44    1.515 B-  20643
2,,8,6,C,,3019.892,78    0.0037,6   7520.3,19    0.000 B-    156
0,,7,7,N,,2863.416,72    0.0001,9   7475.6,14    0.000 B-  -5144
0  7,,11,4,Be,-n,,165.797,4540.9,70   11.053 B-  20867
5,,10,5,B,,28958.242,21.032,5879.9,85    1.402 B-  19085
3,,9,6,C,-n,,0.800,7100.1,69    0.053 B-   9771
1,,8,7,N,,101.438,71    0.0006,0   7699.4,60    0.000 B-  -2754
0  8,,12,4,Be,-nn,,165.797,4285.2,85   10.362 B-  20334
6,,11,5,B,,37112.51,24.569,5507.3,02    1.536 B-  23418
4,,10,6,C,-nn,,3.578,6922.0,54    0.224 B-   8010
2,,9,7,N,-n,,2.301,7373.7,96    0.144 B-  10420
0,,8,8,O,-4737,-4737.001,35    0.0001,6   7976.2,06    0.000 B- -15417
0  7,,12,5,B,,,204.104,5269.6,67   12.006 B-  22684
5,,11,6,C,-n,,17.365,6558.0,24    1.021 B-  13161
3,,10,7,N,,,15.000,7286.2,29    0.882 B-   8678
1,,9,8,O,-808,-808.763,48    0.0006,6   7750.7,28    0.000 B-  -2760
0  8,,13,5,B,-n,,204.165,4976.6,30   11.342 B-  26873
6,,12,6,C,,,30.000,6426.1,31    1.667 B-  11806
4,,11,7,N,,,18.570,7038.5,62    1.032 B-  13895
2,,10,8,O,-782,-782.815,60    0.0007,1   7767.0,97    0.000 B-  -1655
0,,9,9,F,,873.113,0.463,7631.6,38    0.026 B-  -4444
0  9,,14,5,B,,,525.363,4719.6,34   27.651 B-  27356
7,,13,6,C,-n,,98.389,6118.2,73    5.178 B-  16557
5,,12,7,N,-2n,,16.404,6948.5,43    0.863 B-  12523
3,,11,8,O,-n,,2.637,7566.4,95    0.139 B-   4820
1,,10,9,F,-1487,-1487.444,20    0.0008,6   7779.0,18    0.000 B-  -3239
0 10,,15,5,B,,,800#,4453#,40#    B-  30946
8,,14,6,C,,,230.625,5961.4,35   11.531 B-  15737
6,,13,7,N,,,78.894,6709.1,71    3.945 B-  17970
4,,12,8,O,-nn,,0.885,7568.5,70    0.044 B-   3813
2,,11,9,F,-n,,0.030,7720.1,34    0.002 B-   7024
0,,10,10,Ne,-7041,-7041.93,55    0.0015,7   8032.2,40    0.000 B- -13892
0 11,,16,5,B,,,900#,4203#,43#    B-  31687
9,,15,6,C,,,596#,5674#,28#    B-  20411
7,,14,7,N,,,134.048,6609.0,15    6.383 B-  17169
5,,13,8,O,-3n,,12.000,7389.3,74    0.571 B-   8109
3,,12,9,F,-nn,,1.800,7738.2,93    0.086 B-   5684
1,,11,10,Ne,-5731,-5731.776,0.038,7971.7,13    0.002 B-  -3547
0 10,,16,6,C,-nn,,231.490,5421.0,77   10.522 B-  21846
8,,15,7,N,,,207.779,6378.5,34    9.445 B-  22481
6,,14,8,O,-4n,,56.921,7364.8,71    2.587 B-   6489
4,,13,9,F,,,12.399,7624.2,95    0.564 B-  10818
2,,12,10,Ne,-8024,-8024.719,0.018,8080.4,65    0.001 B-  -2843
0,,11,11,Na,-5181,-5181.511,0.171,7915.6,67    0.008 B-  -4781
0 11,,17,6,C,,,997#,5077#,43#    B-  27450
9,,16,7,N,,,420.570,6236.6,71   18.286 B-  22099
7,,15,8,O,,,121.712,7163.4,85    5.292 B-  11336
5,,14,9,F,,3285.263,33.320,7622.3,44    1.449 B-   8439
3,,13,10,Ne,-n,,0.104,7955.2,56    0.005 B-   4375
1,,12,11,Na,-9529,-9529.852,48    0.0018,1   8111.4,93    0.000 B-  -4056
0 10,,17,7,N,,,401#,5887#,17#    B-  28438
8,,16,8,O,,,164.874,7039.6,85    6.870 B-  10955
6,,15,9,F,,,97.670,7463.5,82    4.070 B-  13496
4,,14,10,Ne,-nn,,0.513,7993.3,25    0.021 B-   2466
2,,13,11,Na,-n,,0.017,8063.4,88    0.001 B-   5515
0,,12,12,Mg,-13933,-13933.569,0.013,8260.7,09    0.001 B- -13884
0 11,,18,7,N,,,503#,5613#,20#    B-  28654
9,,17,8,O,-n,,165.084,6727.8,05    6.603 B-  15994
7,,16,9,F,,,96.442,7336.3,06    3.858 B-  13369
5,,15,10,Ne,-2035,-2035.502,29.045,7839.7,99    1.162 B-   7322
3,,14,11,Na,-nn,,1.200,8101.3,97    0.048 B-   3834
1,,13,12,Mg,-13192,-13192.783,0.047,8223.5,02    0.002 B-  -4276
0 10,,18,8,O,-nn,,164.950,6497.4,78    6.344 B-  16012
8,,17,9,F,,,111.199,7083.2,40    4.277 B-  18167
6,,16,10,Ne,,,18.429,7751.9,10    0.709 B-   7341
4,,15,11,Na,-6860,,3.502,8004.2,01    0.135 B-   9353
2,,14,12,Mg,-16214,-16214.542,0.030,8333.8,70    0.001 B-  -4004
0,,13,13,Al,-12210,-12210.151,0.067,8149.7,65    0.003 B-  -5069
0 11,,19,8,O,,,500#,6185#,19#    B-  19220
9,,18,9,F,,,389.830,6867.9,32   14.438 B-  18399
7,,17,10,Ne,,,90.770,7520.4,14    3.362 B-  12568
5,,16,11,Na,-5517,,3.726,7956.9,46    0.138 B-   9068
3,,15,12,Mg,-n,,0.050,8263.8,52    0.002 B-   2610
1,,14,13,Al,-17196,-17196.861,0.047,8331.5,53    0.002 B-  -4812
0 12,,20,8,O,,,699#,5988#,25#    B-  18338
10,,19,9,F,-n,,393.024,6614.7,92   14.037 B-  22441
8,,18,10,Ne,,,126.068,7388.3,46    4.502 B-  12288
6,,17,11,Na,-988,,10.246,7799.2,64    0.366 B-  14030
4,,16,12,Mg,-15018,,2.001,8272.4,13    0.071 B-   1831
2,,15,13,Al,-n,,0.077,8309.8,94    0.003 B-   4642
0,,14,14,Si,-21492,-21492.794,30    0.0004,9   8447.7,44    0.000 B- -14345
0 11,,20,9,F,,,525.363,6444.0,31   18.116 B-  21750
9,,19,10,Ne,,,149.505,7167.0,67    5.155 B-  15719
7,,18,11,Na,,2679.994,7.337,7682.1,51    0.253 B-  13282
5,,17,12,Mg,-10602,,11.400,8113.2,02    0.393 B-   7604
3,,16,13,Al,-18207,,0.345,8348.4,64    0.012 B-   3687
1,,15,14,Si,-21895,-21895.078,38    0.0005,6   8448.6,35    0.000 B-  -4942
0 12,,21,9,F,,,596#,6233#,20#    B-  24832
10,,20,10,Ne,,23280.117,253.250,7034.5,31    8.442 B-  14805
8,,19,11,Na,,8474.67,4.727,7501.9,68    0.158 B-  17358
6,,18,12,Mg,-8883,,3.447,8054.5,06    0.115 B-   6981
4,,17,13,Al,-15864,,2.888,8261.1,28    0.096 B-   8568
2,,16,14,Si,-n,,0.022,8520.6,54    0.001 B-  -4232
0,,15,15,P,-20200,,0.065,8353.5,06    0.002 B-  -6141
0 13,,22,9,F,-nn,,546#,6033#,18#    B-  24961
11,,21,10,Ne,,31181.591,266.195,6813.0,90    8.587 B-  18935
9,,20,11,Na,,,13.972,7398.6,77    0.451 B-  15368
7,,19,12,Mg,-3122,,3.074,7869.1,88    0.099 B-  11828
5,,18,13,Al,-14950,,2.236,8225.5,17    0.072 B-   7998
3,,17,14,Si,-n,,0.043,8458.2,91    0.001 B-   1491
1,,16,15,P,-24440,-24440.54,95    0.0006,7   8481.1,67    0.000 B-  -5398
0 12,,22,10,Ne,,,503#,6671#,16#    B-  18359
10,,21,11,Na,,,37.260,7219.8,81    1.164 B-  19469
8,,20,12,Mg,-828,,3.260,7803.8,40    0.102 B-  10270
6,,19,13,Al,-11099,,7.173,8100.3,44    0.224 B-  12978
4,,18,14,Si,-24077,,0.298,8481.4,68    0.009 B-    227
